customer_purchases: {group: (coustomer_name: chararray,coustomer_id: int),total_purchases_per_coustomer: long,min_purchase: int,max_purchase: int}
********************************************** customer purchases ***********************************
((AHYXZL  GJFVCD,9218),972,972,972)
((AOORQF  LLOANI,9995),950,950,950)
((ASDRUV  SCIYLG,8868),3571,292,817)
((BEFEVG  ZMBWRI,8750),909,909,909)
((BHWYQC  CEKWFU,9958),742,742,742)
((BPTQUC  FSBDYZ,9161),479,479,479)
((BSFCZV  QCAIHP,9116),440,440,440)
((BTJZDF  HHISVT,8816),610,610,610)
((BUTDPR  RWRWOF,8048),715,715,715)
((BXLXFY  FZTRFF,8066),482,482,482)
((BXVDRZ  CXVUUL,8775),948,948,948)
((BYAFLG  LHAJJZ,8310),238,238,238)
((CAHFBN  BABSZE,9116),630,630,630)
((CFQKUM  WEOUSU,9783),927,927,927)
((CGGUEZ  GRSCNT,8392),226,226,226)
((CUEKAJ  QOSTYT,8080),1683,262,895)
((DASMUF  CXHEZE,8892),241,241,241)
((DCBQFH  IHQDIR,8370),550,550,550)
((DRSXXI  LDIBFD,8612),755,755,755)
((DTDTCC  WZTQVV,8159),492,492,492)
((EALLMA  TGCZEB,9920),481,481,481)
((EIMFIG  KWSCIY,9745),523,523,523)
((EIWIXV  RKYBZM,9900),804,804,804)
((ELJWED  JEIBZU,8866),570,570,570)
((ERRAZU  MIVTXZ,9172),578,578,578)
((EVIEEC  QLBAJX,9928),5545,259,862)
((EVSEAH  NCRHFD,9726),384,384,384)
((EXZTPL  FVOGSI,8750),1789,561,645)
((FDLJBD  SJGMNT,8240),616,616,616)
((FGUQYZ  OGQTVJ,9416),4884,253,987)
((FHADZY  ECPKJR,8254),568,568,568)
((FLOUWM  JBZGVL,8184),523,523,523)
((GIKZDD  EMPKFY,8500),844,844,844)
((GMDHCI  ZSEKDC,8966),963,963,963)
((HIRZTN  RQKOVI,8617),379,379,379)
((HNOIMS  KFANPA,8973),881,881,881)
((HUAAAB  EZPMLP,9956),5272,242,927)
((HYARBV  FBUNOI,9623),474,474,474)
((IBMZEF  FPGCXV,9044),778,778,778)
((IMUISI  NXZFRV,9345),2380,325,871)
((IYADBP  ISYEGE,9245),234,234,234)
((JBAEDH  DIZFFP,9189),524,524,524)
((JBSCSN  PKICDM,8522),407,407,407)
((JFRXMU  PEKKHP,9676),251,251,251)
((JQQHNH  LXHHFR,8360),745,745,745)
((JZEXSU  OGYAMS,8865),660,660,660)
((KDUSQJ  FEFXMR,8538),832,832,832)
((KKLGNT  BTNMOI,8936),400,400,400)
((KKQBCW  VZFIKC,8587),367,367,367)
((KOKLPN  IIWLTJ,8643),883,883,883)
((KSCKVB  TUABVX,8509),2090,485,884)
((KZPBBW  QFAQFW,9920),679,679,679)
((LBJJYU  XMPKTR,9427),521,521,521)
((LMKLWB  BSNHXA,9365),253,253,253)
((LSUNNO  TWUKTI,9567),530,530,530)
((LXEWXK  MFPNLD,9046),208,208,208)
((MCGIFA  PFKZON,9987),963,963,963)
((MEAFQY  FGBNWH,8268),770,770,770)
((MFLXCN  ALKHYJ,8524),561,561,561)
((MIYISF  XEKFBU,8851),989,989,989)
((MLHLVH  QEGAHN,8479),204,204,204)
((MSXPOW  EILXFN,8827),360,360,360)
((MTFUWO  OMCBZB,9006),607,607,607)
((MUPMQJ  NCSQQK,9398),871,871,871)
